0:00.064 23 + Z 0 0 (N
0:00.244 88 N Z 0 0 
0:01.228 442 N Z 0 0 
0:02.192 789 N Z 0 0 
0:03.208 1155 N Z 0 0 
0:04.147 1493 N Z 0 0 
0:05.058 1821 N Z 0 0 
0:05.992 2157 N Z 0 0 
0:06.992 2517 N Z 0 0 
0:08.025 2889 N Z 0 0 
0:08.994 3238 N Z 0 0 
0:09.981 3593 N Z 0 0 
0:10.900 3924 N Z 0 0 
0:11.403 4105 V Z 0 0 
0:11.658 4197 x Z 0 0 
0:12.783 4602 N Z 0 0 
0:13.808 4971 N Z 0 0 
0:14.861 5350 N Z 0 0 
0:15.875 5715 N Z 0 0 
0:16.986 6115 N Z 0 0 
0:17.997 6479 N Z 0 0 
0:19.128 6886 N Z 0 0 
0:20.242 7287 N Z 0 0 
0:21.353 7687 N Z 0 0 
0:22.378 8056 N Z 0 0 
0:23.422 8432 N Z 0 0 
0:24.456 8804 N Z 0 0 
0:25.544 9196 N Z 0 0 
0:26.628 9586 N Z 0 0 
0:27.567 9924 ~ Z 0 0 
0:27.675 9963 N Z 0 0 
0:28.681 10325 N Z 0 0 
0:29.219 10519 ~ Z 0 0 
0:29.711 10696 N Z 0 0 
0:30.211 10876 V Z 0 0 
0:30.556 11000 x Z 0 0 
0:31.814 11453 N Z 0 0 
0:32.831 11819 N Z 0 0 
0:33.817 12174 N Z 0 0 
0:34.747 12509 N Z 0 0 
0:35.711 12856 N Z 0 0 
0:36.767 13236 N Z 0 0 
0:37.900 13644 N Z 0 0 
0:39.092 14073 N Z 0 0 
0:40.186 14467 N Z 0 0 
0:41.242 14847 N Z 0 0 
0:42.283 15222 N Z 0 0 
0:43.389 15620 N Z 0 0 
0:44.494 16018 N Z 0 0 
0:45.564 16403 N Z 0 0 
0:46.633 16788 N Z 0 0 
0:47.669 17161 N Z 0 0 
0:48.706 17534 N Z 0 0 
0:49.811 17932 N Z 0 0 
0:50.908 18327 N Z 0 0 
0:51.903 18685 N Z 0 0 
0:52.903 19045 N Z 0 0 
0:53.933 19416 N Z 0 0 
0:55.006 19802 N Z 0 0 
0:56.092 20193 N Z 0 0 
0:57.183 20586 N Z 0 0 
0:58.172 20942 N Z 0 0 
0:59.189 21308 N Z 0 0 
1:00.211 21676 N Z 0 0 
1:01.261 22054 N Z 0 0 
1:02.297 22427 N Z 0 0 
1:03.317 22794 N Z 0 0 
