    0:01.108      399     N    0    0    0
    0:02.081      749     N    0    0    0
    0:03.119     1123     N    0    0    0
    0:04.028     1450     N    0    0    0
    0:04.967     1788     N    0    0    0
    0:05.897     2123     N    0    0    0
    0:06.872     2474     N    0    0    0
    0:07.906     2846     N    0    0    0
    0:08.883     3198     N    0    0    0
    0:09.844     3544     N    0    0    0
    0:10.794     3886     N    0    0    0
    0:11.500     4140     N    0    0    0
    0:12.672     4562     N    0    0    0
    0:13.656     4916     N    0    0    0
    0:14.722     5300     N    0    0    0
    0:15.767     5676     N    0    0    0
    0:16.878     6076     N    0    0    0
    0:17.886     6439     N    0    0    0
    0:19.000     6840     N    0    0    0
    0:20.131     7247     N    0    0    0
    0:21.239     7646     N    0    0    0
    0:22.267     8016     N    0    0    0
    0:23.306     8390     N    0    0    0
    0:24.342     8763     N    0    0    0
    0:25.422     9152     N    0    0    0
    0:26.492     9537     N    0    0    0
    0:27.553     9919     N    0    0    0
    0:28.364    10211     N    0    0    0
    0:29.503    10621     V    0    0    0
    0:29.681    10685     N    0    0    0
    0:30.233    10884     N    0    0    0
    0:30.528    10990     V    0    0    0
    0:31.728    11422     N    0    0    0
    0:32.736    11785     N    0    0    0
    0:33.714    12137     N    0    0    0
    0:34.650    12474     N    0    0    0
    0:35.611    12820     N    0    0    0
    0:36.728    13222     N    0    0    0
    0:37.664    13559     V    0    0    0
    0:37.839    13622     N    0    0    0
    0:38.861    13990     V    0    0    0
    0:39.053    14059     N    0    0    0
    0:40.147    14453     N    0    0    0
    0:41.139    14810     N    0    0    0
    0:42.164    15179     N    0    0    0
    0:43.258    15573     N    0    0    0
    0:44.381    15977     N    0    0    0
    0:45.461    16366     N    0    0    0
    0:46.517    16746     N    0    0    0
    0:47.553    17119     N    0    0    0
    0:48.594    17494     N    0    0    0
    0:49.678    17884     N    0    0    0
    0:50.792    18285     N    0    0    0
    0:51.786    18643     N    0    0    0
    0:52.803    19009     N    0    0    0
    0:53.817    19374     N    0    0    0
    0:54.900    19764     N    0    0    0
    0:56.064    20183     V    0    0    0
    0:57.064    20543     N    0    0    0
    0:58.058    20901     N    0    0    0
    0:59.150    21294     N    0    0    0
    1:00.189    21668     N    0    0    0
    1:01.147    22013     N    0    0    0
    1:02.056    22340     V    0    0    0
    1:02.258    22413     N    0    0    0
    1:03.083    22710     V    0    0    0
    1:03.264    22775     N    0    0    0
    1:04.300    23148     N    0    0    0
    1:05.475    23571     N    0    0    0
    1:06.653    23995     N    0    0    0
